Tid,Tname
1,"top, jeans, dress"
2,"jeans, sweater,  loungewear, sweatshirt"
3,"jacket , top,  loungewear, jumpsuit, sweater, hoodie"
4," loungewear, jacket , dress, sweater, jeans, sweatshirt"
5,"dress, jumpsuit, top,  loungewear, hoodie"
6,"sweatshirt, coat, top"
7,"hoodie, jumpsuit, top"
8,"top, dress, sweater, coat"
9,"sweater, top, dress, coat, sweatshirt"
10,"sweater, top, jeans, dress, sweatshirt, jacket "
11,"jumpsuit, dress, jeans,  loungewear, coat"
12,"hoodie, jeans, jumpsuit, jacket , sweatshirt, dress"
13,"coat, jeans,  loungewear, jumpsuit"
14,"jumpsuit, coat, jacket , hoodie, dress, top, sweatshirt"
15,"top, jeans, hoodie, sweater"
16,"jumpsuit, jacket , sweatshirt, dress"
17,"dress, jeans, jumpsuit, coat, sweater, hoodie"
18,"sweatshirt,  loungewear, top"
19,"dress,  loungewear, hoodie, jacket "
20,"hoodie, dress, jumpsuit"
