Tid,Tname
1,"clip, sharpner, pin"
2,"clip, eraser, pin"
3,"book, crayons, eraser, pen, sharpner"
4,"pen, pin, book, pencil"
5,"sharpner, book, pen, eraser, tape"
6,"tape, eraser, ruler, book, crayons"
7,"clip, book, crayons, pin, sharpner"
8,"clip, pen, crayons"
9,"eraser, clip, pen, ruler, sharpner"
10,"crayons, eraser, pin, clip"
11,"pen, sharpner, eraser, pin, crayons"
12,"eraser, ruler, pencil"
13,"eraser, pen, ruler"
14,"tape, sharpner, book, pen, pin"
15,"ruler, pen, tape, pencil, pin"
16,"pin, sharpner, pencil, tape, pen"
17,"pencil, sharpner, crayons, eraser"
18,"eraser, crayons, pencil, sharpner"
19,"clip, pen, tape"
20,"eraser, pen, ruler, pencil"
