Tid,Tname
1,"Seafood, Meat, Beverage, Bread, Snacks, Fruits, Vegetables"
2,"Fruits, Snacks, Vegetables, Meat, Dairy"
3,"Meat, Vegetables, Cheese, Bread"
4,"Eggs, Dairy, Cheese, Bread, Fruits"
5,"Eggs, Beverage, Fruits, Dairy, Meat, Cheese"
6,"Snacks, Dairy, Vegetables, Beverage"
7,"Bread, Meat"
8,"Vegetables, Dairy"
9,"Cheese, Vegetables, Seafood, Snacks, Bread, Eggs, Dairy"
10,"Bread, Dairy, Seafood, Vegetables, Fruits"
11,"Beverage, Snacks, Eggs, Dairy"
12,"Meat, Dairy, Vegetables, Bread, Snacks, Eggs, Fruits, Beverage, Seafood"
13,"Dairy, Meat, Fruits"
14,"Cheese, Fruits, Beverage, Vegetables, Eggs, Dairy"
15,"Meat, Fruits, Eggs, Snacks, Cheese, Dairy"
16,"Cheese, Seafood, Vegetables, Beverage"
17,"Meat, Fruits, Dairy, Vegetables, Snacks, Cheese"
18,"Snacks, Beverage"
19,"Dairy, Beverage, Snacks, Bread, Cheese, Seafood, Fruits"
20,"Snacks, Beverage, Eggs, Dairy"
