Tid,Tname
1,"night stand, accent table, coffee table, chair"
2,"couch, sofa, closet, chair, night stand"
3,"accent table, chair, dresser, TV stand, recliner, coffee table, closet"
4,"accent table, sofa, TV stand, chair, coffee table, closet"
5,"sofa, TV stand, night stand, couch"
6,"couch, closet, recliner, TV stand, dresser, coffee table, sofa"
7,"accent table, recliner, coffee table, night stand, couch, closet"
8,"coffee table, recliner, night stand, TV stand, closet, dresser, chair, sofa, couch"
9,"recliner, couch, coffee table, dresser, chair"
10,"accent table, TV stand, night stand, dresser, closet, coffee table, couch, sofa, recliner"
11,"night stand, sofa, couch, accent table, closet"
12,"couch, dresser, accent table, coffee table, chair, night stand"
13,"accent table, chair, TV stand, night stand, sofa, recliner"
14,"dresser, night stand, accent table, couch, closet, coffee table, chair"
15,"sofa, dresser, coffee table, recliner, chair, accent table, closet, couch, TV stand"
16,"closet, TV stand, coffee table, chair, sofa"
17,"accent table, closet, coffee table, TV stand, night stand, recliner, chair, sofa"
18,"recliner, coffee table, closet, dresser, chair, TV stand, night stand, sofa, accent table"
19,"closet, coffee table, TV stand, night stand, recliner, chair, dresser"
20,"coffee table, recliner, night stand, TV stand, closet, dresser, chair, sofa, couch"
